meteorite_name,id,recclass,mass (g),fall,year,reclat,reclong,geometry,continent,country
Frontier Mountain 90095,10491,H4,3.7,Found,1990,-72.95386,160.50646,POINT (160.50646 -72.95386),Antarctica,Antarctica
Frontier Mountain 90096,10492,H6,6.9,Found,1990,-72.95386,160.51258,POINT (160.51258 -72.95386),Antarctica,Antarctica
Frontier Mountain 90097,10493,H6,2.2,Found,1990,-72.95341,160.52206,POINT (160.52206 -72.95341),Antarctica,Antarctica
Frontier Mountain 90098,10494,H4,5.3,Found,1990,-72.95341,160.51288,POINT (160.51288 -72.95341),Antarctica,Antarctica
Frontier Mountain 90099,10495,H4,3.7,Found,1990,-72.95404,160.53659,POINT (160.53659 -72.95404),Antarctica,Antarctica
Frontier Mountain 90100,10496,L6,1.3,Found,1990,-72.95489,160.43429,POINT (160.43429 -72.95489),Antarctica,Antarctica
Frontier Mountain 90101,10497,L6,1.1,Found,1990,-72.95489,160.44469,POINT (160.44469 -72.95489),Antarctica,Antarctica
Frontier Mountain 90103,10499,L6,1.9,Found,1990,-72.95493,160.44285,POINT (160.44285 -72.95493),Antarctica,Antarctica
Frontier Mountain 90104,10500,H6,10.9,Found,1990,-72.95404,160.50188,POINT (160.50188 -72.95404),Antarctica,Antarctica
Frontier Mountain 90108,10504,H5,2.2,Found,1990,-72.95417,160.50218,POINT (160.50218 -72.95417),Antarctica,Antarctica
Frontier Mountain 90109,10505,H6,11.6,Found,1991,-72.95225,160.48903,POINT (160.48903 -72.95225),Antarctica,Antarctica
Frontier Mountain 90110,10506,H6,6.2,Found,1991,-72.95198,160.48444,POINT (160.48444 -72.95198),Antarctica,Antarctica
Frontier Mountain 90112,10508,H6,3.1,Found,1990,-72.95489,160.44347,POINT (160.44347 -72.95489),Antarctica,Antarctica
Frontier Mountain 90114,10509,L4,3,Found,1991,-72.95359,160.44377,POINT (160.44377 -72.95359),Antarctica,Antarctica
Frontier Mountain 90116,10511,H4,4.3,Found,1991,-72.95399,160.44545,POINT (160.44545 -72.95399),Antarctica,Antarctica
Frontier Mountain 90118,10512,H4/5,0.45,Found,1991,-72.95489,160.44224,POINT (160.44224 -72.95489),Antarctica,Antarctica
Frontier Mountain 90119,10513,L6,3,Found,1991,-72.95605,160.43857,POINT (160.43857 -72.95605),Antarctica,Antarctica
Frontier Mountain 90121,10514,H5,0.7,Found,1991,-72.95556,160.44591,POINT (160.44591 -72.95556),Antarctica,Antarctica
Frontier Mountain 90122,10515,H6,1.7,Found,1990,-72.95435,160.44148,POINT (160.44148 -72.95435),Antarctica,Antarctica
Frontier Mountain 90123,10516,H6,1.5,Found,1990,-72.95319,160.43934,POINT (160.43934 -72.95319),Antarctica,Antarctica
Frontier Mountain 90124,10517,H6,5.6,Found,1990,-72.95399,160.50405,POINT (160.50405 -72.95399),Antarctica,Antarctica
Frontier Mountain 90127,10520,H3,13.55,Found,1990,-72.96222,160.48444,POINT (160.48444 -72.96222),Antarctica,Antarctica
Frontier Mountain 90128,10521,H4/5,6.5,Found,1990,-72.956,160.44775,POINT (160.44775 -72.956),Antarctica,Antarctica
Frontier Mountain 90131,10524,H4,9.2,Found,1990,-72.95511,160.48444,POINT (160.48444 -72.95511),Antarctica,Antarctica
Frontier Mountain 90132,10525,H5,6.22,Found,1990,-72.96002,160.48444,POINT (160.48444 -72.96002),Antarctica,Antarctica
Frontier Mountain 90135,10528,LL4,15.4,Found,1990,-72.95404,160.50402,POINT (160.50402 -72.95404),Antarctica,Antarctica
Frontier Mountain 90136,10529,H6,2.2,Found,1990,-72.95413,160.50371,POINT (160.50371 -72.95413),Antarctica,Antarctica
Frontier Mountain 90137,10530,H6,4.89,Found,1990,-72.95341,160.51411,POINT (160.51411 -72.95341),Antarctica,Antarctica
Frontier Mountain 90138,10531,H6,4.48,Found,1990,-72.95315,160.52451,POINT (160.52451 -72.95315),Antarctica,Antarctica
Frontier Mountain 90139,10532,H6,2.18,Found,1990,-72.9527,160.5268,POINT (160.5268 -72.9527),Antarctica,Antarctica
Frontier Mountain 90140,10533,H6,1.28,Found,1990,-72.95556,160.46441,POINT (160.46441 -72.95556),Antarctica,Antarctica
Frontier Mountain 90141,10534,L6,2.1,Found,1990,-72.9531,160.43934,POINT (160.43934 -72.9531),Antarctica,Antarctica
Frontier Mountain 90142,10535,L3,14.9,Found,1990,-72.95556,160.45386,POINT (160.45386 -72.95556),Antarctica,Antarctica
Frontier Mountain 90143,10536,H6,9,Found,1990,-72.95556,160.45081,POINT (160.45081 -72.95556),Antarctica,Antarctica
Frontier Mountain 90144,10537,H6,4.8,Found,1990,-72.95556,160.45631,POINT (160.45631 -72.95556),Antarctica,Antarctica
Frontier Mountain 90147,10539,L7,5.4,Found,1990,-72.95431,160.50145,POINT (160.50145 -72.95431),Antarctica,Antarctica
Frontier Mountain 90150,10542,H6,16.66,Found,1990,-72.9535,160.52665,POINT (160.52665 -72.9535),Antarctica,Antarctica
Frontier Mountain 90151,10543,H5,33.6,Found,1990,-72.95564,160.51258,POINT (160.51258 -72.95564),Antarctica,Antarctica
Frontier Mountain 90152,10544,H5,18.3,Found,1990,-72.95556,160.4661,POINT (160.4661 -72.95556),Antarctica,Antarctica
Frontier Mountain 90153,10545,H4-6,8.5,Found,1990,-72.95404,160.53811,POINT (160.53811 -72.95404),Antarctica,Antarctica
Frontier Mountain 90154,10546,L6,107.1,Found,1990,-72.95614,160.43429,POINT (160.43429 -72.95614),Antarctica,Antarctica
Frontier Mountain 90155,10547,L6,72.06,Found,1990,-72.95614,160.43444,POINT (160.43444 -72.95614),Antarctica,Antarctica
Frontier Mountain 90156,10548,H6,31.82,Found,1990,-72.95614,160.43506,POINT (160.43506 -72.95614),Antarctica,Antarctica
Frontier Mountain 90157,10549,L6,9.73,Found,1990,-72.95542,160.43429,POINT (160.43429 -72.95542),Antarctica,Antarctica
Frontier Mountain 90158,10550,H4-5,23.33,Found,1990,-72.95413,160.5034,POINT (160.5034 -72.95413),Antarctica,Antarctica
Frontier Mountain 90159,10551,H4,7.22,Found,1990,-72.95417,160.50325,POINT (160.50325 -72.95417),Antarctica,Antarctica
Frontier Mountain 90163,10555,L4-6,24.05,Found,1990,-72.95435,160.50937,POINT (160.50937 -72.95435),Antarctica,Antarctica
Frontier Mountain 90165,10557,H5,2.1,Found,1990,-72.95556,160.47221,POINT (160.47221 -72.95556),Antarctica,Antarctica
Frontier Mountain 90166,10558,H6,24.41,Found,1990,-72.9531,160.44698,POINT (160.44698 -72.9531),Antarctica,Antarctica
Frontier Mountain 90168,10560,Ureilite,14.26,Found,1990,-72.95489,160.44622,POINT (160.44622 -72.95489),Antarctica,Antarctica
Frontier Mountain 90171,10562,H5,13.4,Found,1990,-72.95489,160.44316,POINT (160.44316 -72.95489),Antarctica,Antarctica
Frontier Mountain 90172,10563,L5,65.86,Found,1990,-72.95667,160.43857,POINT (160.43857 -72.95667),Antarctica,Antarctica
Frontier Mountain 90182,10572,H4-6,12.45,Found,1990,-72.99083,160.40833,POINT (160.40833 -72.99083),Antarctica,Antarctica
Frontier Mountain 90186,10576,H6,3.09,Found,1990,-72.95306,160.43917,POINT (160.43917 -72.95306),Antarctica,Antarctica
Frontier Mountain 90189,10579,L6,2.66,Found,1990,-72.95364,160.44282,POINT (160.44282 -72.95364),Antarctica,Antarctica
Frontier Mountain 90192,10582,H6,48.01,Found,1990,-72.95609,160.46029,POINT (160.46029 -72.95609),Antarctica,Antarctica
Frontier Mountain 90196,10586,L6,2.01,Found,1990,-72.95607,160.45081,POINT (160.45081 -72.95607),Antarctica,Antarctica
Frontier Mountain 90197,10587,H5/6,2.57,Found,1990,-72.95563,160.45233,POINT (160.45233 -72.95563),Antarctica,Antarctica
Frontier Mountain 90198,10588,Eucrite,0.93,Found,1990,-72.99083,160.54083,POINT (160.54083 -72.99083),Antarctica,Antarctica
Frontier Mountain 90199,10589,H4,0.66,Found,1990,-72.95591,160.54133,POINT (160.54133 -72.95591),Antarctica,Antarctica
Frontier Mountain 90200,10590,Ureilite-pmict,3.19,Found,1990,-72.95556,160.53778,POINT (160.53778 -72.95556),Antarctica,Antarctica
Frontier Mountain 90201,10591,H5-6,11.5,Found,1990,-72.95363,160.44282,POINT (160.44282 -72.95363),Antarctica,Antarctica
Frontier Mountain 90203,10593,H6,11.31,Found,1990,-72.95573,160.54408,POINT (160.54408 -72.95573),Antarctica,Antarctica
Frontier Mountain 90205,10595,H3.9-6,7.13,Found,1990,-72.99167,160.40889,POINT (160.40889 -72.99167),Antarctica,Antarctica
Frontier Mountain 90211,10601,H5,10.92,Found,1990,-72.95583,160.54028,POINT (160.54028 -72.95583),Antarctica,Antarctica
Frontier Mountain 90212,10602,L6/7,3.7,Found,1990,-72.95551,160.43643,POINT (160.43643 -72.95551),Antarctica,Antarctica
Frontier Mountain 90214,10603,H6,1.85,Found,1990,-72.95506,160.43918,POINT (160.43918 -72.95506),Antarctica,Antarctica
Frontier Mountain 90215,10604,L6,5.55,Found,1990,-72.95583,160.43833,POINT (160.43833 -72.95583),Antarctica,Antarctica
Frontier Mountain 90220,10609,L6,0.96,Found,1990,-72.95472,160.44167,POINT (160.44167 -72.95472),Antarctica,Antarctica
Frontier Mountain 90221,10610,H6,3.25,Found,1990,-72.9531,160.4479,POINT (160.4479 -72.9531),Antarctica,Antarctica
Frontier Mountain 90225,10614,H3,8.4,Found,1990,-72.95556,160.43833,POINT (160.43833 -72.95556),Antarctica,Antarctica
Frontier Mountain 90228,10617,Ureilite,13.26,Found,1990,-72.95,160.43333,POINT (160.43333 -72.95),Antarctica,Antarctica
Frontier Mountain 90229,10618,H4/5,4.38,Found,1990,-72.95528,160.44056,POINT (160.44056 -72.95528),Antarctica,Antarctica
Frontier Mountain 90230,10619,L6,3.98,Found,1990,-72.95528,160.44,POINT (160.44 -72.95528),Antarctica,Antarctica
Frontier Mountain 90231,10620,L5,18.21,Found,1990,-72.955,160.44083,POINT (160.44083 -72.955),Antarctica,Antarctica
Frontier Mountain 90233,10621,Ureilite,31.89,Found,1990,-72.95611,160.43833,POINT (160.43833 -72.95611),Antarctica,Antarctica
Frontier Mountain 90234,10622,L6,23.47,Found,1990,-72.95564,160.44117,POINT (160.44117 -72.95564),Antarctica,Antarctica
Frontier Mountain 90235,10623,L6,23.94,Found,1991,-72.95611,160.44139,POINT (160.44139 -72.95611),Antarctica,Antarctica
